OBJECTID,MinReg_ID,Site_ID,Ftr_ID,Ftr_Name,Other_Name,Last_Updt,Ftr_Group,Ftr_Type,Commodity,Lat_WGS84,Long_WGS84,Pt_Def,Poly_Def,State,County,Loc_Scale,Loc_Date,Ref_Detail,Ref_ID,Remarks,Loc_Poly
13,Mr00013,AK00034,Mo00336,"Sleitat Mountain, Sleitat Mountain deposit",<Null>,7/9/2020,Mineral Occurrence,Deposit,silver; tin; tungsten,60.0468,-157.0797,Approximate location of 2006 drilling hole labeled CASS 06-13 from map,<Null>,AK,Dillingham,"Large (>1:24,000)",2015,Figure 7,Ellis (2015),ARDF no. TA010 - Alaska Resource Data File (2020),No
14,Mr00137,AK00035,Mf00328,"Gilmore Dome, Stepovich mine",<Null>,8/3/2020,Mine Feature,Underground Workings,tungsten,64.9805,-147.3628,Approximate location of Stepovich point on map,<Null>,AK,Fairbanks North Star,"Medium (1:24,000-1:250,000)",1957,Plate 23,Byers (1957),ARDF no. FB113 - Alaska Resource Data File (2020),No
15,Mr00137,AK00035,Mf00484,"Gilmore Dome, Yellow Pup mine",<Null>,8/3/2020,Mine Feature,Underground Workings,tungsten,64.9819,-147.3487,Approximate location of Yellow Pup point on map,<Null>,AK,Fairbanks North Star,"Medium (1:24,000-1:250,000)",1957,Plate 23,Byers (1957),ARDF no. FB118 - Alaska Resource Data File (2020),No
16,Mr00137,AK00035,Mo00650,"Gilmore Dome, Gilmore Dome area",Colbert; Schubert; Spruce Hen; Stepovich; Yellow Pup,8/3/2020,Mineral Occurrence,Deposit,tungsten,64.9805,-147.3628,Same location as the Stepovich mine (Mf00328),<Null>,AK,Fairbanks North Star,"Medium (1:24,000-1:250,000)",1957,Plate 23,Byers (1957),ARDF no. FB113 - Alaska Resource Data File (2020),No
17,Mr00137,AK00059,Mr00137,Fairbanks District,<Null>,8/2/2020,Mineral Region,Mining District,tungsten (1),64.8232,-146.6797,Approximate center of the polygon,Approximate extent of the mining district from imported GIS file,AK,Fairbanks North Star; Southeast Fairbanks; Yukon-Koyukuk,<Null>,2020,AKDGGS mining district feature layer,Alaska Department of Geological and Geophysical Surveys (2020),Imported data from Alaska Division of Geological and Geophysical Surveys; (1) Nokleberg and others (1987),Yes
18,Mr00135,AK00197,Mf00569,"Golden Horn, Golden Horn mine",<Null>,8/3/2020,Mine Feature,Underground Workings,gold; lead; silver; zinc,62.4431,-157.9258,Approximate location of point number 11 on map,<Null>,AK,Yukon-Koyukuk,"Small (<1:250,000)",1972,MF-363,Cobb (1972),ARDF no. ID115 - Alaska Resource Data File (2020),No
19,Mr00135,AK00197,Mo00706,"Golden Horn, Golden Horn deposit",<Null>,7/10/2020,Mineral Occurrence,Deposit,antimony; arsenic (1); gold; silver; tungsten,62.4431,-157.9258,Approximate location of point number 11 on map,<Null>,AK,Yukon-Koyukuk,"Small (<1:250,000)",1972,MF-363,Cobb (1972),ARDF no. ID115 - Alaska Resource Data File (2020); (1) Bundtzen and others (1992),No
20,Mr00058,AK00201,Mo00707,"Bonita Creek, Bonita Creek deposit",<Null>,7/9/2020,Mineral Occurrence,Deposit,gold; tungsten,64.6364,-165.2009,"Approximate intersection of Bonita Creek and the east-central boundary of section 11, T. 10 S., R. 33 W; based on Area 26 (1)",<Null>,AK,Nome,"Medium (1:24,000-1:250,000)",2017,"Nome C-1 NE, AK",U.S. Geological Survey (2017),ARDF no. NM280 - Alaska Resource Data File (2020); (1) Hudson and DeYoung (1978),No
21,Mr00059,AK00202,Mo00708,"Margerie Glacier, Margerie Glacier deposit",Margerie,8/3/2020,Mineral Occurrence,Deposit,copper; gold; silver; tungsten,59.0128,-137.0865,Approximate location of sample point 60 within polygon,Approximate extent of know area of known disseminated chalcopyrite mineralization on map,AK,Hoonah-Angoon,"Medium (1:24,000-1:250,000)",1978,"Page C-153, Figure C-40",Brew and others (1978),ARDF no. SK020 - Alaska Resource Data File (2020),Yes
22,Mr00060,AK00203,Mo00709,"Lucky 13, Lucky 13 deposit",Larsen Ridge,8/3/2020,Mineral Occurrence,Deposit,tungsten,64.2391,-143.8994,Approximate center of the polygon,"Approximate extent of skarn from map near points 5 and 6, which is approximately 90 x 3 m and up to 7.6 m thick",AK,Southeast Fairbanks,"Medium (1:24,000-1:250,000)",1979,"Page B-20, Figure 13",U.S. Bureau of Mines (1979),ARDF no. EA091 - Alaska Resource Data File (2020),Yes
23,Mr00131,AZ00001,Mf00560,"Boriana, Boriana mine",<Null>,7/31/2020,Mine Feature,Adit,copper (1); tungsten (1),34.938,-113.9164,Location of the Boriana Mines from imported GIS file,<Null>,AZ,Mohave,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Chatman (1988),No
24,Mr00131,AZ00001,Mo00700,"Boriana, Boriana deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),34.938,-113.9164,Same location as the Boriana mine (Mf00560),<Null>,AZ,Mohave,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Hobbs (1944),No
25,Mr00131,AZ00002,Mr00131,Boriana Mineral District,<Null>,8/2/2020,Mineral Region,Mineral District,copper; gold; silver; tungsten,34.9474,-113.9026,Approximate center of the polygon,Approximate extent of the district from the map,AZ,Mohave,<Null>,2002,Mineral districts shapefile,Richard (2002),Imported GIS data from Arizona Geological Survey,Yes
26,Mr00031,CA00001,Mf00400,"Pine Creek, Pine Creek mine",<Null>,7/31/2020,Mine Feature,Underground Workings,copper (1); gold (1); molybdenum (1); silver (1); tungsten (1),37.3928,-118.7184,Location of the Pine Creek Mine from imported GIS file,<Null>,CA,Inyo,<Null>,2020,625k Points file,Horton and San Juan (2020),(1) Bateman and others (1965),No
27,Mr00031,CA00001,Mo00499,"Pine Creek, Pine Creek deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),37.3928,-118.7184,Same location as the Pine Creek mine (Mf00400),<Null>,CA,Inyo,<Null>,2020,625k Points file,Horton and San Juan (2020),(1) Bateman and others (1965),No
28,Mr00038,CA00013,Mr00038,Chidago Mining District,<Null>,12/31/2019,Mineral Region,Mining District,tungsten,37.6755,-118.5429,Approximate center of the polygon,Approximate extent of the Chidago Mining District from map,CA,Mono,"Medium (1:24,000-1:250,000)",1983,"Page 6, Figure 2",Donahoe and others (1983),<Null>,Yes
29,Mr00031,CA00014,Mr00031,Bishop Mining District,Tungsten Hills Mining District,8/2/2020,Mineral Region,Mining District,copper; gold; molybdenum; perlite; pumice; silver; tungsten,37.2642,-118.5009,Approximate center of the polygon,Approximate extent of diagonal hatched polygon on the map,CA,Fresno; Inyo; Mono ,"Small (<1:250,000)",1956,"Page 49, Figure 1",Bateman (1956),<Null>,Yes
30,Mr00031,CA00015,Mf00565,"Brownstone, Brownstone mine",<Null>,7/31/2020,Mine Feature,Adit,tungsten (1),37.3524,-118.7074,Location of the Brownstone Mine from imported GIS file,<Null>,CA,Inyo,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Bateman and others (1965),No
31,Mr00031,CA00015,Mo00704,"Brownstone, Brownstone deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),37.3524,-118.7074,Same location as the Brownstone mine (Mf00565),<Null>,CA,Inyo,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Bateman and others (1965),No
32,<Null>,CA00016,Mf00596,"Tungsten Peak, Tungsten Peak mine",Hi-Peak Mine,8/6/2020,Mine Feature,Mine Shaft,tungsten (1),35.6892,-117.8772,Location of the Tungsten Peak Mine from imported GIS file,<Null>,CA,Kern,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Bruce (1981),No
33,<Null>,CA00016,Mo00620,"Tungsten Peak, Tungsten Peak deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),35.6892,-117.8772,Same location as the Tungsten Peak mine (Mf00596),<Null>,CA,Kern,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Bruce (1981),No
34,Mr00031,CA00021,Mf00401,"Tungstar, Tungstar mine",<Null>,7/31/2020,Mine Feature,Underground Workings,tungsten (1),37.3376,-118.666,Location of the Tungstar Mine from imported GIS file,<Null>,CA,Inyo,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Bateman and others (1965),No
35,Mr00031,CA00021,Mo00497,"Tungstar, Tungstar deposit",Green ore body; Stevens ore body,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),37.3376,-118.666,Same location as the Tungstar mine (Mf00401),<Null>,CA,Inyo,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Bateman and others (1965),No
36,Mr00031,CA00042,Mf00402,"Little Sister, Little Sister mine",<Null>,7/31/2020,Mine Feature,Open Pit Mine,tungsten (1),37.347,-118.5306,Location of the Little Sister Mine from imported GIS file,<Null>,CA,Inyo,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Bateman (1956),No
37,Mr00031,CA00042,Mo00506,"Little Sister, Little Sister deposit",<Null>,2/6/2020,Mineral Occurrence,Deposit,tungsten,37.3468,-118.5309,Approximate center of the polygon,Approximate extent of the tactite scheelite-bearing zones surrounding the Glory Hole on the map,CA,Inyo,"Large (>1:24,000)",1944,Plate 10,Bateman (1956),<Null>,Yes
38,<Null>,CA00044,Mf00403,"Consolidated Tungsten, Consolidated Tungsten mine",<Null>,7/29/2020,Mine Feature,Underground Workings,tungsten (1),36.6362,-119.1143,Approximate location of no. 76 on index map of tungsten properties,<Null>,CA,Tulare,"Small (<1:250,000)",1953,Figure 2,Krauskopf (1953),(1) Goodwin (1958),No
39,<Null>,CA00044,Mo00507,"Consolidated Tungsten, Consolidated Tungsten deposit",Drum Valley; Harrell Hill,7/29/2020,Mineral Occurrence,Deposit,tungsten (1),36.6362,-119.1143,Same location as the Consolidated Tungsten mine (Mf00403),<Null>,CA,Tulare,"Small (<1:250,000)",1953,Figure 2,Krauskopf (1953),(1) Goodwin (1958),No
40,Mr00038,CA00056,Mf00399,"Black Rock, Black Rock mine",<Null>,7/31/2020,Mine Feature,Adit,tungsten (1),37.6846,-118.5282,Location of the Black Rock Mine from imported GIS file,<Null>,CA,Mono,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Donahoe and others (1983),No
41,Mr00038,CA00056,Mo00498,"Black Rock, Black Rock deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),37.6846,-118.5282,Same location as the Black Rock mine (Mf00399),<Null>,CA,Mono,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Donahoe and others (1983),No
42,<Null>,CA00057,Mf00414,"Strawberry, Strawberry mine",<Null>,7/31/2020,Mine Feature,Mine Shaft,tungsten (1),37.5516,-119.2945,Location of the Strawberry Mine from imported GIS file,<Null>,CA,Madera,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Werner and others (2014); (2) Krauskopf (1953),No
43,<Null>,CA00057,Mo00693,"Strawberry, Strawberry deposit",No. 1 Mine (2); No. 4 Mine (2); No. 7 Mine (2),8/3/2020,Mineral Occurrence,Deposit,tungsten (1),37.5516,-119.2945,Same location as the Strawberry mine (Mf00414),<Null>,CA,Madera,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Werner and others (2014); (2) Krauskopf (1953),No
44,<Null>,CA00058,Mf00415,"Tulare County Tungsten, Tulare County Tungsten mine",Big Jim,8/3/2020,Mine Feature,Underground Workings,tungsten (1),36.2869,-118.9213,Approximate location of no. 94 on Index map of tungsten properties,<Null>,CA,Tulare,"Small (<1:250,000)",1953,Figure 2,Krauskopf (1953),(1) Goodwin (1958),No
45,<Null>,CA00058,Mo00694,"Tulare County Tungsten, Tulare County Tungsten deposit",<Null>,7/29/2020,Mineral Occurrence,Deposit,tungsten,36.2869,-118.9213,Same location as the Tulare County Tungsten mine (Mf00415),<Null>,CA,Tulare,"Small (<1:250,000)",1953,Figure 2,Krauskopf (1953),<Null>,No
46,<Null>,CA00059,Mf00416,"Tungstore, Tungstore mine",Kennedy Mine,8/3/2020,Mine Feature,Underground Workings,tungsten (1),35.7932,-118.6625,Location of the Tungstore Mine from imported GIS file,<Null>,CA,Tulare,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Goodwin (1958),No
47,<Null>,CA00059,Mo00695,"Tungstore, Tungstore deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),35.7932,-118.6625,Same location as the Tungstore mine (Mf00416),<Null>,CA,Tulare,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Goodwin (1958),No
48,<Null>,CA00060,Mf00292,"Searles Lake, Searles Lake mine",<Null>,7/25/2020,Mine Feature,Brine Mine,lithium (1),35.725,-117.3302,Approximate location of a salt well near the center of the lake as seen on the Esri USA Topo Map,<Null>,CA,San Bernardino,<Null>,2018,USA Topo Maps ,Esri (2020b),(1) Garrett (2004),No
49,<Null>,CA00060,Mo00593,"Searles Lake, Searles Lake brine deposit",Searles Dry Lake,8/3/2020,Mineral Occurrence,Deposit,lithium (1); tungsten (2),35.7177,-117.316,Approximate center of the polygon,Approximate extent of isopach contour interval 40 which is the extent of the lacustrine salts on the geologic map,CA,San Bernardino,"Small (<1:250,000)",2009,Plate 1,Smith (2009),(1) Anstett and others (1990); (2) Carpenter and Garrett (1959),Yes
50,Mr00033,CA00061,Mr00033,Atolia District,<Null>,1/30/2020,Mineral Region,Mining District,tungsten,35.3084,-117.6169,Approximate center of the polygon,Approximate extent of the district from the map,CA,Kern; San Bernardino ,"Large (>1:24,000)",1940,Plate 35,Lemmon and Dorr (1940),<Null>,Yes
51,<Null>,CA00062,Mf00417,"Andrew Curtis, Andrew Curtis mine",<Null>,7/25/2020,Mine Feature,Underground Workings,tungsten (1),34.2569,-117.6838,Approximate location of Curtis Tungsten mine and mill,<Null>,CA,Los Angeles,"Large (>1:24,000)",1982,Figure 2,Unruh and Graber (1982),Adjusted to Esri (2020b) ; (1) Ridenour and others (1982),No
52,<Null>,CA00062,Mo00698,"Andrew Curtis, Andrew Curtis deposit",<Null>,7/29/2020,Mineral Occurrence,Deposit,tungsten (1),34.2569,-117.6838,Same location as the Andrew Curtis mine (Mf00417),<Null>,CA,Los Angeles,"Large (>1:24,000)",1982,Figure 2,Unruh and Graber (1982),Adjusted to Esri (2020b) ; (1) Ridenour and others (1982),No
53,Mr00030,CO00001,Mr00030,Cement Creek District,San Juan Tungsten Area,8/3/2020,Mineral Region,Mining District,tungsten,37.862,-107.6782,Approximate center of the polygon,Approximate extent of the mining district from the map,CO,San Juan,"Small (<1:250,000)",2017,Webpage map,Colorado Geological Survey (2015),<Null>,Yes
54,Mr00064,CO00002,Mr00064,Boulder County Tungsten District,Boulder Tungsten; Boulder County District (1); Boulder Tungsten Mining District (1),8/3/2020,Mineral Region,Mining District,tungsten,39.9913,-105.4514,Approximate center of the polygon,Approximate extent of the mining district from the map,CO,Boulder,"Small (<1:250,000)",2017,Webpage map,Colorado Geological Survey (2015),(1) Dunn (2015),Yes
55,Mr00064,CO00007,Mf00346,"Tungsten, Tungsten mine",Chance Mine,8/3/2020,Mine Feature,Mine Shaft,tungsten (1),39.9433,-105.4978,Location of the Tungsten Shaft from imported GIS file,<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
56,Mr00064,CO00007,Mo00482,"Tungsten, Tungsten deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),39.9433,-105.4978,Same location as the Tungsten mine (Mf00346),<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
57,Mr00064,CO00020,Mf00359,"Oregon, Oregon mine",<Null>,8/3/2020,Mine Feature,Adit,tungsten (1),40.0066,-105.4491,Location of the Oregon Mine from imported GIS file,<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
58,Mr00064,CO00020,Mo00371,"Oregon, Oregon deposit",Quaker City vein; Hildegarde vein,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),40.0066,-105.4491,Same location as the Oregon mine (Mf00359),<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
59,Mr00064,CO00027,Mf00360,"Vasco No. 6, Vasco No. 6 mine",<Null>,7/29/2020,Mine Feature,Mine Shaft,tungsten,39.9713,-105.4833,Approximate location of the Vasco No. 6 shaft on the map,<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 5,Lovering and Tweto (1953),<Null>,No
60,Mr00064,CO00027,Mo00281,"Vasco No. 6, Vasco No. 6 deposit",Five vein,7/29/2020,Mineral Occurrence,Deposit,tungsten,39.9713,-105.4833,Same location as the Vasco No. 6 mine (Mf00360),<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 5,Lovering and Tweto (1953),<Null>,No
61,Mr00069,CO00029,Mf00240,"Climax, Climax mine",<Null>,7/10/2020,Mine Feature,Open Pit Mine,molybdenum (1); tin (2); tungsten (2),39.37,-106.17,Approximate center of pit on imagery,<Null>,CO,Lake,<Null>,2015,World Imagery,Esri (2020a),(1) Cappa and Bartos (2007); (2) Schwochow and Hornbaker (1985),No
62,Mr00069,CO00029,Mo00262,"Climax, Climax deposit",<Null>,7/27/2020,Mineral Occurrence,Deposit,molybdenum (1); platinum-group elements (2); rhenium (3); tungsten (4),39.3691,-106.1647,Approximate center of the polygon,Polygon represents the trace of outer limit of mineralization,CO,Lake,"Large (>1:24,000)",1933,Figure 12,Cappa and Bartos (2007),(1) Freeport-McMoRan Inc. (2015–2019); (2) John and Taylor (2016); (3) John and others (2017); (4) Werner and others (2014),Yes
63,Mr00069,CO00029,Mo00402,"Climax, Climax tailings",<Null>,5/1/2020,Mineral Occurrence,Deposit,tungsten (1),39.3758,-106.1882,Approximate center of the polygon,Approximate extent of the tailings from the Esri USA Topo Map,CO,Lake,<Null>,2020,USA Topo Maps ,Esri (2020b),(1) Werner and others (2014),Yes
64,Mr00069,CO00036,Mr00069,Climax District,<Null>,7/27/2020,Mineral Region,Mining District,molybdenum (1); platinum-group elements (2); rhenium; tin (3); tungsten (4),39.3758,-106.1702,Approximate center of the polygon,Approximate extent of the mining district from the map,CO,Lake; Summit,"Small (<1:250,000)",2017,Webpage map,Colorado Geological Survey (2015),(1) Freeport-McMoRan Inc. (2015–2019); (2) John and Taylor (2016); (3) John and others (2017); (4) Werner and others (2014),Yes
65,Mr00064,CO00037,Mf00351,"Cross, Cross mine",<Null>,7/29/2020,Mine Feature,Mine Shaft,tungsten,39.9846,-105.4774,Approximate location of Cross on the map,<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 5,Lovering and Tweto (1953),<Null>,No
66,Mr00064,CO00037,Mo00333,"Cross, Cross deposit",Pump vein; Vein 3; Vein 1; Vein 2,2/4/2020,Mineral Occurrence,Deposit,tungsten,39.9846,-105.4774,Same location as the Cross mine (Mf00351),<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 5,Lovering and Tweto (1953),<Null>,No
67,Mr00064,CO00038,Mf00357,"Conger, Conger mine",<Null>,7/31/2020,Mine Feature,Mine Shaft,tungsten (1),39.9753,-105.5222,Location of the Conger Mine from imported GIS file,<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
68,Mr00064,CO00038,Mf00358,"Conger, Beddig mine",<Null>,7/29/2020,Mine Feature,Mine Shaft,tungsten,39.9743,-105.5249,Approximate location of Bedding on the map,<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 5,Lovering and Tweto (1953),<Null>,No
69,Mr00064,CO00038,Mo00380,"Conger, Conger deposit",Jumbo vein (1); Middle vein (1),8/3/2020,Mineral Occurrence,Deposit,tungsten (1),39.9753,-105.5222,Same location as the Conger mine (Mf00357),<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
70,Mr00064,CO00038,Mo00481,"Conger, Beddig deposit",<Null>,2/4/2020,Mineral Occurrence,Deposit,tungsten,39.9743,-105.5249,Same location as the Beddig mine (Mf00358),<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 5,Lovering and Tweto (1953),<Null>,No
71,Mr00064,CO00039,Mf00344,"Vasco No. 1, Vasco No. 1 mine",<Null>,7/29/2020,Mine Feature,Mine Shaft,tungsten,39.9774,-105.4846,Approximate location of the Vasco No. 1 shaft on the map,<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 5,Lovering and Tweto (1953),<Null>,No
72,Mr00064,CO00039,Mo00280,"Vasco No. 1, Vasco No. 1 deposit",<Null>,7/29/2020,Mineral Occurrence,Deposit,tungsten,39.9774,-105.4846,Same location as the Vasco No. 1 mine (Mf00344),<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 5,Lovering and Tweto (1953),<Null>,No
73,Mr00064,CO00040,Mf00352,"Quay, Quay mine",<Null>,7/31/2020,Mine Feature,Mine Shaft,tungsten (1),39.9742,-105.5282,Location of the Quay Mine from imported GIS file,<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
74,Mr00064,CO00040,Mo00381,"Quay, Quay deposit",<Null>,7/31/2020,Mineral Occurrence,Deposit,tungsten (1),39.9742,-105.5282,Same location as the Quay mine (Mf00352),<Null>,CO,Boulder,<Null>,2020,24k Points file,Horton and San Juan (2020),(1) Lovering and Tweto (1953),No
75,Mr00064,CO00041,Mf00341,"Cold Spring, Cold Spring mine",<Null>,7/30/2020,Mine Feature,Mine Shaft,tungsten,39.9806,-105.4828,Approximate location of Cold Spring shaft on the map,<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 5,Lovering and Tweto (1953),<Null>,No
76,Mr00064,CO00041,Mo00372,"Cold Spring, Cold Spring deposit",<Null>,2/4/2020,Mineral Occurrence,Deposit,tungsten,39.9806,-105.4828,Same location as the Cold Spring mine (Mf00341),<Null>,CO,Boulder,"Large (>1:24,000)",1930,Plate 5,Lovering and Tweto (1953),<Null>,No
