OBJECTID *,Shape *,Site_ID *,Ftr_ID *,Ftr_Name,Other_Name,Last_Updt,Ftr_Group,Ftr_Type,Commodity,Lat_WGS84,Long_WGS84,Pt_Def,Poly_Def,State,County,Loc_Scale,Loc_Date,Ref_Detail,Ref_ID,Remarks,Loc_Poly
23,Point,AK00104,Mo00596,"Eudialyte, Eudialyte Occurrence",<Null>,1/17/2018,Mineral Occurrence,Prospect,rare earth elements; zirconium; thorium; uranium,62.063368,-154.086254,Point placed at the center of 'M' (Middle Fork plutonic complex) at location of eudialyte sample,<Null>,AK,Yukon-Koyukuk,"Medium (1:24,000-1:250,000)",1993,Figure 1,Gunter and others (1993),<Null>,No
24,Point,AK00108,Mo00600,"Golovnin Bay, Golovnin Bay Showing",<Null>,1/19/2018,Mineral Occurrence,Showing,rare earth elements; uranium; tungsten,64.524145,-162.918863,"Point placed at the sample location for Golovnin Bay from Figure 1 Geologic Map of The Southern And Eastern Part Of The Darby Mountains, Seward Peninsula, Alaska",<Null>,AK,Nome,"Medium (1:24,000-1:250,000)",1953,Plate 1,West (1953),<Null>,No
25,Point,AK00113,Mo00592,"Hot Springs Creek, Hot Springs Creek Showing",<Null>,2/6/2018,Mineral Occurrence,Showing,rare earth elements; thorium; uranium; tungsten,65.476641,-144.672475,Point placed on coordinates from page 35 of Cobb (1976),<Null>,AK,Yukon-Koyukuk,"Medium (1:24,000-1:250,000)",1976,Page 35,Cobb (1976),<Null>,No
26,Point,AK00120,Mo00613,"Karshner Creek, Karshner Creek Showing",Hot Springs Slough,1/29/2018,Mineral Occurrence,Showing,rare earth elements; titanium; zirconium,65.002526,-150.631341,Site corresponds with pan sample in Waters (1934); location is from Cobb (1972a) ,<Null>,AK,Yukon-Koyukuk,"Small (<1:250,000)",1934,Number 37 (1) ,Waters (1934),(1) Cobb (1972); Noted as about 100 yards away from the Hot Springs Slough in Waters (1934),No
27,Point,AK00122,Mo00573,"Kilolitna River, Kilolitna River Prospect",<Null>,1/24/2018,Mineral Occurrence,Prospect,rare earth elements; tin; niobium; tungsten; tantalum; zirconium,65.952601,-151.204027,Inferred location from bank sample location,<Null>,AK,Yukon-Koyukuk,"Medium (1:24,000-1:250,000)",1986,Figure 3,Barker and Foley (1986),<Null>,No
28,Point,AK00123,Mo00602,"Kwiniuk River, Kwiniuk River Showing",<Null>,1/24/2018,Mineral Occurrence,Showing,copper; rare earth elements; tungsten,64.728288,-162.358608,"Point placed at the sample location for Kwiniuk River from Figure 1 Geologic Map of The Southern And Eastern Part Of The Darby Mountains, Seward Peninsula, Alaska",<Null>,AK,Nome,"Medium (1:24,000-1:250,000)",1953,Plate 1,West (1953),<Null>,No
29,Point,AK00127,Mo00620,"Lucky Six, Lucky Six Prospect",<Null>,2/6/2018,Mineral Occurrence,Prospect,copper; lead; rare earth elements; thorium; uranium; zirconium,58.761174,-135.251738,Point placed on Lucky Six claim group,<Null>,AK,Haines,"Medium (1:24,000-1:250,000)",1975,Figure 4,Eakins (1975),<Null>,No
30,Point,AK00130,Mo00579,"No Name Creek, No Name Creek Deposit",<Null>,1/17/2018,Mineral Occurrence,Deposit,rare earth elements; tin; silver; niobium; tantalum; titanium; tungsten; zirconium; gold,66.119101,-150.060827,Latitude and longitude from Alaska Resource Data File,<Null>,AK,Yukon-Koyukuk,<Null>,2018,<Null>,U.S. Geological Survey (2018),<Null>,No
31,Point,AK00132,Mo00594,"Paystreak and Marker Veins, Paystreak Vein",<Null>,2/8/2018,Mineral Occurrence,Prospect,uranium; thorium; rare earth elements; molybdenum,56.261651,-133.116739,"Point placed on Pitcher Island from Sheet 3, map of Salomon Bay area",<Null>,AK,Prince of Wales-Hyder,"Medium (1:24,000-1:250,000)",1958,Sheet 3,Houston and others (1958),<Null>,No
32,Point,AK00132,Mo00691,"Paystreak and Marker Veins, Marker Vein",<Null>,2/9/2018,Mineral Occurrence,Prospect,uranium; thorium; rare earth elements; molybdenum,56.261567,-133.11536,"Point placed on Pitcher Island from Sheet 3, map of Salomon Bay area",<Null>,AK,Prince of Wales-Hyder,"Medium (1:24,000-1:250,000)",1958,Sheet 3,Houston and others (1958),<Null>,No
33,Point,AK00135,Mo00575,"Ray River, Ray River Deposit",<Null>,1/18/2018,Mineral Occurrence,Deposit,tin; rare earth elements; gold; niobium; titanium; tungsten; zirconium,65.986301,-150.571227,Latitude and longitude from Alaska Resource Data File,<Null>,AK,Yukon-Koyukuk,<Null>,2018,<Null>,U.S. Geological Survey (2018),<Null>,No
34,Point,AK00138,Mo00622,"Ruby Creek, Ruby Creek Showing",<Null>,2/8/2018,Mineral Occurrence,Showing,rare earth elements; thorium,64.63166,-142.75794,"Point placed about a half mile above the mouth of Ruby Creek at the location of where the samples were taken on table 9, figure 6",<Null>,AK,Southeast Fairbanks,"Medium (1:24,000-1:250,000)",1954,Figure 6,Wedow and White (1954),<Null>,No
35,Point,AK00140,Mo00566,"Section 35, Section 35 Showing",<Null>,2/7/2018,Mineral Occurrence,Showing,beryllium; niobium; thorium; uranium; zirconium; rare earth elements,63.639803,-142.264225,Point from Figure 5,<Null>,AK,Southeast Fairbanks,"Large (>1:24,000)",2009,Figure 5,Adams (2009),<Null>,No
36,Point,AK00146,Mo00558,"Tofty Ridge, Tofty Ridge Prospect",<Null>,1/19/2018,Mineral Occurrence,Prospect,rare earth elements; niobium; silver; uranium; niobium,65.115901,-150.810226,Latitude and longitude from Alaska Resource Data File,<Null>,AK,Yukon-Koyukuk,<Null>,2018,<Null>,U.S. Geological Survey (2018),<Null>,No
37,Point,AK00152,Mo00590,"Unnamed (Half-Way Pillar), Unnamed (Half-Way Pillar) Showing",<Null>,1/30/2018,Mineral Occurrence,Showing,rare earth elements; lead,67.262883,-141.637979,"Location 14 from Barker and Clautice (1978) at Half-Way Pillar from Coleen B-2 1:63,360 map",<Null>,AK,Yukon-Koyukuk,"Medium (1:24,000-1:250,000)",1978,Figure 4,Barker and Clautice (1978),<Null>,No
38,Point,AK00156,Mo00578,"Unnamed (east fork of Kilolitna River), Unnamed (east fork of Kilolitna River) Prospect",<Null>,1/29/2018,Mineral Occurrence,Prospect,rare earth elements; tin; niobium; tungsten; tantalum; zirconium,66.039501,-151.067327,Inferred location from bank sample location,<Null>,AK,Yukon-Koyukuk,"Medium (1:24,000-1:250,000)",1986,Figure 3,Barker and Foley (1986),<Null>,No
39,Point,AK00157,Mo00621,"Unnamed (east of Berg Mountain), Unnamed (east of Berg Mountain) Showing",<Null>,1/12/2018,Mineral Occurrence,Showing,rare earth elements,58.956546,-135.702586,Latitude and longitude from Alaska Resource Data File,<Null>,AK,Hoonah-Angoon,<Null>,2018,<Null>,U.S. Geological Survey (2018),<Null>,No
40,Point,AK00158,Mo00601,"Unnamed (east of Eagle Creek), Unnamed (east of Eagle Creek) Showing",<Null>,1/23/2018,Mineral Occurrence,Showing,rare earth elements; thorium; uranium,64.70228,-162.763614,Point placed east of Eagle Creek at the center of a concentration of alkaline dikes near Peak 2109 from Figure 1; Generalized geologic map of the Kachauik pluton and adjoining areas ,<Null>,AK,Nome,"Medium (1:24,000-1:250,000)",1976,Figure 2,Miller and others (1976),<Null>,No
41,Point,AK00159,Mo00624,"Unnamed (in Zane Hills), Unnamed (in Zane Hills) Showing",<Null>,1/18/2018,Mineral Occurrence,Showing,rare earth elements; thorium; uranium,66.117535,-155.975974,Latitude and longitude from Alaska Resource Data File,<Null>,AK,Yukon-Koyukuk,<Null>,2018,<Null>,U.S. Geological Survey (2018),<Null>,No
42,Point,AK00164,Mo00553,"Unnamed (near Mallard Bay), Unnamed (near Mallard Bay) Showing",<Null>,1/12/2018,Mineral Occurrence,Showing,gold; copper; rare earth elements; uranium; zinc,54.771305,-132.009419,Latitude and longitude from Alaska Resource Data File,<Null>,AK,Prince of Wales-Hyder,<Null>,2018,<Null>,U.S. Geological Survey (2018),<Null>,No
43,Point,AK00166,Mo00595,"Unnamed (near Salmon Bay), Unnamed (near Salmon Bay) Prospect",<Null>,2/8/2018,Mineral Occurrence,Prospect,rare earth elements; thorium; uranium;,56.319652,-133.170743,"Approximate center of sample locations 4095, 4551, 4610, 4549, and 4093 from source",<Null>,AK,Prince of Wales-Hyder,"Medium (1:24,000-1:250,000)",1952,Plate 2,Houston and others (1958),<Null>,No
44,Point,AK00167,Mo00618,"Unnamed (near Salmon River), Unnamed (near Salmon River) Showing",Salmon River Junction,2/8/2018,Mineral Occurrence,Showing,rare earth elements; zinc; niobium; titanium; zinc; arsenic; strontium; thorium; yttrium; zirconium,58.066769,-134.460288,Lat-long coordinates from source,<Null>,AK,Hoonah-Angoon,"Medium (1:24,000-1:250,000)",1986,Page 97,Wells and others (1986),<Null>,No
45,Point,AK00168,Mo00614,"Unnamed (near Swift River), Unnamed (near Swift River) Showing",<Null>,1/18/2018,Mineral Occurrence,Showing,rare earth elements,61.454535,-154.111201,Bedrock and float occurrence location,<Null>,AK,Bethel,"Medium (1:24,000-1:250,000)",1972,Number 2,Cobb (1972c),<Null>,No
46,Point,AK00171,Mo00552,"Unnamed (north shore, Stone Rock Bay), Unnamed (north shore, Stone Rock Bay) Prospect",<Null>,1/12/2018,Mineral Occurrence,Prospect,gold; copper; rare earth elements; uranium; zinc,54.768005,-132.001919,Latitude and longitude from Alaska Resource Data File,<Null>,AK,Prince of Wales-Hyder,<Null>,2018,<Null>,U.S. Geological Survey (2018),<Null>,No
47,Point,AK00172,Mf00557,"Unnamed (northeast of lower Sue Creek), New York Creek Placer Mine",Murray Gulch; Unnamed (northeast of lower Sue Creek),1/17/2018,Mine Feature,Placer Mine,gold; silver,61.570772,-158.590716,"Point placed just south of the mine buildings from Figure 15; Geologic sketch of Murray Gulch, New York Creek drainage, Sleetmute C-7 Quadrangle, Alaska",<Null>,AK,Bethel,"Medium (1:24,000-1:250,000)",1999,Figure 1,Bundtzen and others (1999),<Null>,No
48,Point,AK00172,Mo00645,"Unnamed (northeast of lower Sue Creek), Unnamed (northeast of lower Sue Creek) Deposit",<Null>,1/17/2018,Mineral Occurrence,Deposit,cerium; lanthanum; samarium; thorium; uranium; tungsten; zirconium; gold; copper; mercury; lead; silver,61.6319,-158.444263,"Point placed on Sue Creek label from Figure 1; Index map showing generalized geology, prospect localities, and location of the Sleetmute C-7, C-8, D-7, and D-8 quadrangles, southwestern Alaska",<Null>,AK,Bethel,"Medium (1:24,000-1:250,000)",1999,Figure 1,Bundtzen and others (1999),<Null>,No
49,Point,AK00174,Mo00625,"Unnamed (northeast ridge of Caribou Mountain), Unnamed (northeast ridge of Caribou Mountain) Showing",<Null>,1/18/2018,Mineral Occurrence,Showing,rare earth elements; thorium; uranium,66.191338,-155.88218,Latitude and longitude from Alaska Resource Data File,<Null>,AK,Yukon-Koyukuk,<Null>,2018,<Null>,U.S. Geological Survey (2018),<Null>,No
50,Point,AK00175,Mo00610,"Unnamed (on Rock Creek), Unnamed (on Rock Creek) Showing",<Null>,1/24/2018,Mineral Occurrence,Showing,rare earth elements; uranium,64.970296,-162.340631,Concentrates from stream and beach gravels,<Null>,AK,Nome,"Small (<1:250,000)",1953,Sample locality 3052,West (1953),<Null>,No
51,Point,AK00176,Mo00623,"Unnamed (on Slate Creek), Unnamed (on Slate Creek) Showing",<Null>,2/7/2018,Mineral Occurrence,Showing,rare earth elements; thorium; uranium,64.678261,-142.716943,Point 29,<Null>,AK,Southeast Fairbanks,"Small (<1:250,000)",1967,Point 29,Cobb (1972d),<Null>,No
52,Point,AK00183,Mo00604,"Unnamed (tributary to Clear Creek), Unnamed (tributary to Clear Creek) Sample Loc 2983",<Null>,1/18/2018,Mineral Occurrence,Showing,rare earth elements; tin; uranium; tungsten,64.881295,-162.245622,Concentrates from stream and beach gravels,<Null>,AK,Nome,"Small (<1:250,000)",1953,Sample locality 2983,West (1953),<Null>,No
53,Point,AK00183,Mo00605,"Unnamed (tributary to Clear Creek), Unnamed (tributary to Clear Creek) Sample Loc 2974",<Null>,1/18/2018,Mineral Occurrence,Showing,rare earth elements; uranium,64.894296,-162.186622,Concentrates from stream and beach gravels,<Null>,AK,Nome,"Small (<1:250,000)",1953,Sample locality 2974,West (1953),<Null>,No
54,Point,AK00183,Mo00606,"Unnamed (tributary to Clear Creek), Unnamed (tributary to Clear Creek) Sample Loc 2993",<Null>,1/18/2018,Mineral Occurrence,Showing,rare earth elements; uranium,64.898294,-162.326624,Concentrates from stream and beach gravels,<Null>,AK,Nome,"Small (<1:250,000)",1953,Sample locality 2993,West (1953),<Null>,No
55,Point,AK00183,Mo00607,"Unnamed (tributary to Clear Creek), Unnamed (tributary to Clear Creek) Sample Loc 2992",<Null>,1/18/2018,Mineral Occurrence,Showing,rare earth elements; uranium,64.902294,-162.317624,Concentrates from stream and beach gravels,<Null>,AK,Nome,"Small (<1:250,000)",1953,Sample locality 2992,West (1953),<Null>,No
56,Point,AK00183,Mo00608,"Unnamed (tributary to Clear Creek), Unnamed (tributary to Clear Creek) Sample Loc 2995, 2996",<Null>,1/18/2018,Mineral Occurrence,Showing,rare earth elements; uranium,64.905294,-162.346625,Concentrates from stream and beach gravels,<Null>,AK,Nome,"Small (<1:250,000)",1953,Sample localities 2995 and 2996,West (1953),<Null>,No
57,Point,AK00188,Mo00609,"Unnamed (tributary to Vulcan Creek), Unnamed (tributary to Vulcan Creek) Showing",<Null>,1/24/2018,Mineral Occurrence,Showing,rare earth elements; uranium,64.932295,-162.277627,Concentrates from stream and beach gravels,<Null>,AK,Nome,"Small (<1:250,000)",1953,Sample locality 3033,West (1953),<Null>,No
58,Point,AK00189,Mo00551,"Unnamed (upper Idaho Gulch), Unnamed (upper Idaho Gulch) Deposit",Columbium-Bearing Regolith on Upper Idaho Gulch,1/23/2018,Mineral Occurrence,Deposit,niobium; silver; rare earth elements; uranium; zirconium; phosphorus pentoxide,65.092187,-150.940267,Location from Cobb (1972) and placed in approximate location of trench T-8 from Warner and others (1986),<Null>,AK,Yukon-Koyukuk,"Medium (1:24,000-1:250,000)",1986,Figure 4,Warner and others (1986),Point placed in approximate location of trench T-8 from Figure 4,No
59,Point,AK00192,Mo00619,"William Henry, William Henry Prospect",<Null>,2/8/2018,Mineral Occurrence,Prospect,copper; lead; rare earth elements; zinc; gold,58.744274,-135.29224,Point from Figure 9,<Null>,AK,Haines,"Small (<1:250,000)",1989,Figure 9,U.S. Bureau of Mines (1989),<Null>,No
60,Point,AK00194,Mo00597,"Windy Fork Placer, Windy Fork Placer Showing",<Null>,1/18/2018,Mineral Occurrence,Showing,cerium; lanthanum; niobium; titanium; zirconium; iron; tin; thorium; uranium,62.069369,-154.062253,Point placed at the center of 'W' (Windy Fork pluton) at the location of eudialyte sample,<Null>,AK,Yukon-Koyukuk,"Medium (1:24,000-1:250,000)",1991,Figure 1,Barker (2016),<Null>,No
61,Point,AR00004,Mr00004,Magnet Cove District,<Null>,6/1/2017,Mineral Region,Mineral District,barite; titanium; vanadium; niobium; rare earth elements,34.469364,-92.863302,Approximate center of polygon,"Trace of the ""Magnet Cove District""",AR,Garland; Hot Spring; Saline,"Small (<1:250,000)",1958,Plate 1,Scull (1958),<Null>,Yes
62,Point,AZ00017,Mo00253,"La Paz, La Paz Deposit",<Null>,6/23/2017,Mineral Occurrence,Deposit,rare earth elements,34.144763,-113.792088,Approximate center of polygon,Outline of Indicated and Inferred Resource,AZ,La Paz,"Large (>1:24,000)",2011,"Page 59, Appendix D",Boyer and Ostensoe (2011),<Null>,Yes
63,Point,CA00041,Mf00238,"Mountain Pass, Mountain Pass Mine",Sulphide Queen Mine,6/26/2017,Mine Feature,Open Pit Mine,rare earth elements; gold,35.4788,-115.532217,Approximate center of open pit mine,<Null>,CA,San Bernardino,"Large (>1:24,000)",2012,Figure 2.1,Bair and others (2012),<Null>,No
64,Point,CA00041,Mo00254,"Mountain Pass, Sulphide Queen Body",Mountain Pass REE Deposit,6/5/2017,Mineral Occurrence,Deposit,rare earth elements,35.480866,-115.533988,Approximate center of polygon,Outline of block grades at 4320' elevation (Figure 12.7) and 4100' elevation (Figure 12.8); 0.000% <= 3.000% through 15.000% <= through < 99999.000% LNO grade boundary,CA,San Bernardino,"Large (>1:24,000)",2012,Figure 12.7; Figure 12.8,Bair and others (2012),<Null>,Yes
65,Point,CA00053,Mo00300,"Music Valley, Baby Blue",Dixie Girl,7/31/2017,Mineral Occurrence,Deposit,rare earth elements; thorium,34.015327,-115.939864,Point location for the Baby Blue prospect from geologic map,<Null>,CA,Riverside,"Large (>1:24,000)",1964,"Figure 1, Map 1 and Figure 2",Evans (1964),<Null>,No
66,Point,CA00053,Mo00301,"Music Valley, U-Thor",<Null>,7/31/2017,Mineral Occurrence,Deposit,rare earth elements; thorium,33.98445,-115.932538,Point location for the U-Thor Deposit from geologic map,<Null>,CA,Riverside,"Large (>1:24,000)",1964,"Figure 1, Map 1 and Figure 6",Evans (1964),<Null>,No
67,Point,CA00053,Mo00302,"Music Valley, Hansen",Hansen Group; Hansen Number 2,7/31/2017,Mineral Occurrence,Deposit,rare earth elements; thorium,34.001525,-115.947474,Point for the Hansen Deposit was taken from the location map,<Null>,CA,Riverside,"Large (>1:24,000)",1964,Figure 1,Evans (1964),<Null>,No
68,Point,CA00053,Mo00303,"Music Valley, Uranus Prospects",<Null>,7/31/2017,Mineral Occurrence,Deposit,rare earth elements; thorium,34.018224,-115.958797,Point for Uranus was taken from the location map,<Null>,CA,Riverside,"Large (>1:24,000)",1964,Figure 1,Evans (1964),<Null>,No
69,Point,CO00019,Mo00286,"Iron Hill Carbonatite Complex, Iron Hill Carbonatite","Iron Hill Carbonatite, REE-Nb-Th-U",8/24/2017,Mineral Occurrence,Deposit,rare earth elements; niobium; thorium; uranium; vanadium,38.254496,-107.063068,Approximate center of multipart polygon,Polygon represents the trace of the Carbonatite (Cambrian Or Upper Cambrian),CO,Gunnison,"Medium (1:24,000-1:250,000)",1974; 1975,GQ-1177; GQ-1178,Hedlund and Olson (1975),Olson (1974) used for the southern portion of the Carbonatite Stock; Polygon represents the southern part of GQ-1177 and the northern portion of GQ-1178 (Carbonatite stock); Figure 23 from Olson and Hedlund (1981) was used to determine the outer boundary of the complex - Then the rock units were captured inside the complex,Yes
70,Point,CO00019,Mo00335,"Iron Hill Carbonatite Complex, Iron Hill Pyroxenite","Iron Hill Pyroxenite, Ti-V-Fe-Vermiculite; White Earth; Cebolla Creek Iron Deposit",8/24/2017,Mineral Occurrence,Deposit,titanium; vanadium; iron; vermiculite,38.251597,-107.034118,Approximate center of multipart polygon,Polygon represents the trace of the Pyroxenite (Cambrian Or Upper Cambrian),CO,Gunnison,"Medium (1:24,000-1:250,000)",1974; 1975,GQ-1177; GQ-1178,Hedlund and Olson (1975),"Polygon represents the southern part of GQ-1177, Olson (1974), and the northern portion of GQ-1178 (Pyroxenite units); Figure 23 from Olson and Hedlund (1981) was used to determine the outer boundary of the complex; then the rock units were captured inside the complex",Yes
71,Point,CO00029,Mf00240,"Climax, Climax Mine",<Null>,12/11/2018,Mine Feature,Open Pit Mine,molybdenum; tin; tungsten,39.37,-106.17,Center of pit on imagery,<Null>,CO,Lake,"Large (>1:24,000)",2015,World Imagery,Esri World Imagery (2018),<Null>,No
72,Point,CO00029,Mo00262,"Climax, Climax Deposit",<Null>,12/11/2018,Mineral Occurrence,Deposit,molybdenum; tungsten; rhenium; platinum-group elements; tin; rare earth elements,39.36909,-106.164702,Approximate center of polygon,"Polygon represents the trace of ""Outer limit of mineralization""",CO,Lake,"Large (>1:24,000)",1933,Figure 12,Cappa and Bartos (2007),<Null>,Yes
73,Point,CO00031,Mr00053,Wet Mountains Area,<Null>,8/26/2017,Mineral Region,Area,thorium; rare earth elements,38.2803,-105.374764,Approximate center of polygon,"This polygon represents the ""Geologic Map and Sample Localities of Thorium Deposits in the Wet Mountains Area, Colorado""; It also represents the map area/study area where the resources given for the Wet Mountains Area Site are given",CO,Custer; Fremont; Huerfano,"Medium (1:24,000-1:250,000)",1988,Plate 1,Armbrustmacher (1988),"This polygon represents the ""Geologic Map and Sample Localities of Thorium Deposits in the Wet Mountains Area, Colorado""; It does not represent the outer boundaries of an/the actual mining/mineral district, or even the existence of one, it only implies the extent of the plate (map area), and the map area where the resources mentioned are contained",Yes
